col_names;Statut;todo
Q11_9_16$4;ok;
Q11_9_16$5;ok;
Q11_9_16$6;ok;
Q11_9_16$7;ok;
Q11_9_16$8;ok;
EVO_BOV;ok;drop
EVO_OV;ok;drop
EVO_CAP;ok;drop
EVO_CAM;ok;drop
FILTER_$;ok;drop
SUM_SORG;ok;drop
SUM_CEREALES1;ok;drop
PONDERATION;ok;
SECTION1;ok;drop
NORDRE;ok;drop
SUBSCRIBERID;ok;drop
CODREG;ok;
MOUGHATAA;ok;
CODEKIP;ok;drop
CODEVILLAGE;ok;
MILIEU;ok;
LATITUDE;ok;
LONGITUDE;ok;
ALTITUDE;ok;
ACCURACY;ok;
SECTION2;ok;drop
Q2_0A;ok;
Q2_0B;ok;
Q2_0C;ok;
Q2_6M1;ok;
Q2_6M2;ok;
Q2_6M3;ok;
Q2_6M4;ok;
Q2_6M5;ok;
Q2_6M6;ok;
Q2_6F1;ok;
Q2_6F2;ok;
Q2_6F3;ok;
Q2_6F4;ok;
Q2_6F5;ok;
Q2_6F6;ok;
TOTADULTE;ok;
TOTMOINS5;ok;
TAILMEN;ok;
Q2_7A;ok;
Q2_7B;ok;
Q2_8;ok;
Q2_81;ok;
Q2_82;ok;
Q2_83;ok;
Q2_9;ok;
Q2_10;ok;
Q2_11;ok;
SECTION4;ok;drop
VARIZ1;ok;drop
VARIZ2;ok;drop
VARIZ3;ok;drop
VARIZ4;ok;drop
SECTION5;ok;drop
Q5_0A;ok;
Q5_0B;ok;
Q5_0C;ok;drop
VERIF2;ok;drop
VERIF3;ok;drop
VERIF4;ok;drop
VERIF5;ok;drop
VERIF6;ok;drop
Q5_6;ok;drop
Q5_7;ok;drop
SECTION6;ok;drop
Q6_0A;ok;
Q6_0B;ok;
Q6_1A;ok;
Q6_1B;ok;
Q6_2A;ok;
Q6_2B;ok;
Q6_3A;ok;
Q6_3B;ok;
SECTION7;ok;drop
Q7_0A;ok;
Q7_0B;ok;
Q7_0C;ok;
Q7_7;ok;
Q7_8;ok;
Q7_9;ok;
Q7_10;ok;
Q7_11;ok;
Q7_12;ok;
Q7_13;ok;
Q7_14;ok;
Q7_15;ok;
Q7_16;ok;
SECTION8;ok;drop
Q8_1A;ok;
Q8_1B;ok;
VER_ADBASE1;ok;drop
VER_ADBASE2;ok;drop
VER_PULSES;ok;drop
VER_LEGUMES;ok;drop
VER_FRUIT;ok;drop
VER_PROTSMALL_N;ok;drop
VER_PROTSMALL;ok;drop
VER_VIANDPOISS_N;ok;drop
VER_VIANDPOISS;ok;drop
VER_SMALLAI_N;ok;drop
VER_SMALLAI;ok;drop
VER_LAITIERS_N;ok;drop
VER_LAITIERS;ok;drop
VER_SUCRE;ok;drop
VER_HUILE;ok;drop
VER_OTHER;ok;drop
SECTION9;ok;drop
CHOCS1GENERATED_TABLE_LIST_LABEL_301;ok;drop
CHOCS1RESERVED_NAME_FOR_FIELD_LIST_LABELS_302;ok;drop
CHOCS2GENERATED_TABLE_LIST_LABEL_311;ok;drop
CHOCS2RESERVED_NAME_FOR_FIELD_LIST_LABELS_312;ok;drop
Q9_11;ok;
Q9_12;ok;
Q9_13;ok;
Q9_14;ok;
Q9_15;ok;
Q9_16;ok;
SECTION10;ok;drop
STRATEG1GENERATED_TABLE_LIST_LABEL_322;ok;drop
STRATNAL1GENERATED_TABLE_LIST_LABEL_329;ok;drop
